weight_decay,lr,epochs,patience,delta,feature_dim,features,pre_process_layers,post_process_layers,layer_connectivity,hidden_channels,batch_norm,dropout,macro_aggregation,L2_norm,msg_passing_layers,normalize_output,aggr,val_auc,accepted
0.001,0.0001,500,10,0.1,128,go2vec,1,2,False,32,True,0.0,mean,False,4,False,mean,0.819,True
0.001,0.0001,500,10,0.1,128,go2vec,1,2,False,32,True,0.0,mean,False,1,False,mean,0.74,True
0.001,0.0001,500,10,0.1,128,go2vec,0,2,False,32,True,0.0,mean,False,1,False,mean,0.864,True
0.001,0.0001,500,10,0.1,128,go2vec,0,2,False,16,True,0.0,mean,False,1,False,mean,0.831,True
0.001,0.0001,300,10,0.1,128,go2vec,0,2,False,16,True,0.0,mean,False,1,False,mean,0.812,True
0.001,0.0001,300,10,0.1,128,go2vec,0,2,False,16,False,0.0,mean,False,1,False,mean,0.645,False
0.001,0.0001,300,10,0.1,128,go2vec,0,2,False,16,True,0.0,sum,False,1,False,mean,0.793,True
0.001,0.0001,300,10,0.1,128,go2vec,0,2,False,32,True,0.0,sum,False,1,False,mean,0.853,True
0.001,0.0001,300,10,0.1,128,go2vec,0,2,False,32,True,0.0,sum,False,1,True,mean,0.83,True
0.001,0.0001,300,10,0.1,128,go2vec,0,2,False,32,True,0.0,sum,False,1,True,sum,0.752,True
0.001,0.0001,300,10,0.1,128,go2vec,0,2,False,32,True,0.0,mean,False,1,True,sum,0.667,True
0.001,0.0001,300,10,0.1,128,go2vec,2,2,False,32,True,0.0,mean,False,1,True,sum,0.606,True
0.001,0.0001,300,10,0.1,128,go2vec,1,2,False,32,True,0.0,mean,False,1,True,sum,0.712,True
0.001,0.0001,300,10,0.1,128,go2vec,1,2,False,32,True,0.0,mean,False,2,True,sum,0.813,True
0.001,0.0001,300,10,0.1,128,random,1,2,False,32,True,0.0,mean,False,2,True,sum,0.732,True
0.001,0.0001,500,10,0.1,128,random,1,2,False,32,True,0.0,mean,False,2,True,sum,0.686,True
0.001,0.0001,500,10,0.1,128,random,1,2,False,32,True,0.0,sum,False,2,True,sum,0.743,True
0.001,0.0001,500,10,0.1,128,random,1,2,False,32,True,0.0,sum,False,2,True,mean,0.593,False
0.001,0.01,500,10,0.1,128,random,1,2,False,32,True,0.0,sum,False,2,True,sum,0.598,True
0.001,0.001,500,10,0.1,128,random,1,2,False,32,True,0.0,sum,False,2,True,sum,0.672,True
0.001,0.001,500,10,0.1,128,random,2,2,False,32,True,0.0,sum,False,2,True,sum,0.538,True
0.001,0.001,500,10,0.1,128,random,2,2,False,32,True,0.0,sum,False,2,False,sum,0.685,True
0.001,0.01,500,10,0.1,128,random,2,2,False,32,True,0.0,sum,False,2,False,sum,0.743,True
0.001,0.01,500,10,0.1,128,random,2,2,False,32,True,0.0,sum,False,2,True,sum,0.474,True
0.001,0.01,500,10,0.1,128,random,2,2,False,32,True,0.0,mean,False,2,True,sum,0.578,True
0.001,0.01,500,10,0.1,128,random,2,2,False,32,False,0.0,mean,False,2,True,sum,0.889,True
0.001,0.01,500,10,0.1,128,go2vec,2,2,False,32,False,0.0,mean,False,2,True,sum,0.898,True
0.001,0.01,500,10,0.1,128,go2vec,2,2,False,32,False,0.0,mean,False,3,True,sum,0.729,True
0.001,0.01,500,10,0.1,128,go2vec,2,2,False,32,False,0.0,mean,False,3,True,max,0.5,True
0.001,0.01,500,10,0.1,128,go2vec,2,2,False,32,True,0.0,mean,False,3,True,max,0.823,True
0.001,0.001,500,10,0.1,128,go2vec,2,2,False,32,True,0.0,mean,False,3,True,max,0.813,True
0.001,0.001,500,10,0.1,64,go2vec,2,2,False,32,True,0.0,mean,False,3,True,max,0.824,True
0.001,0.001,500,10,0.1,64,go2vec,2,1,False,32,True,0.0,mean,False,3,True,max,0.827,True
0.001,0.001,500,10,0.1,64,go2vec,2,1,False,32,True,0.0,sum,False,3,True,max,0.832,True
0.001,0.001,500,10,0.1,128,go2vec,2,1,False,32,True,0.0,sum,False,3,True,max,0.801,True
0.001,0.001,500,10,0.1,128,go2vec,2,0,False,32,True,0.0,sum,False,3,True,max,0.822,True
0.001,0.001,500,10,0.1,128,go2vec,2,0,False,32,True,0.3,sum,False,3,True,max,0.717,True
0.001,0.001,500,10,0.1,128,go2vec,0,0,False,32,True,0.3,sum,False,3,True,max,0.893,True
0.001,0.001,500,10,0.1,16,go2vec,0,0,False,32,True,0.3,sum,False,3,True,max,0.9,True
0.001,0.001,500,10,0.1,16,go2vec,0,0,sum,32,True,0.3,sum,False,3,True,max,0.893,True
0.001,0.001,500,10,0.1,128,go2vec,0,0,sum,32,True,0.3,sum,False,3,True,max,0.889,True
0.001,0.001,500,10,0.1,128,go2vec,0,0,sum,32,True,0.3,sum,True,3,True,max,0.886,True
0.001,0.001,500,10,0.1,128,random,0,0,sum,32,True,0.3,sum,True,3,True,max,0.629,False
0.001,0.001,300,10,0.1,128,go2vec,0,0,sum,32,True,0.3,sum,True,3,True,max,0.896,True
0.001,0.001,300,10,0.1,128,go2vec,0,0,sum,32,True,0.3,sum,False,3,True,max,0.894,True
0.001,0.01,300,10,0.1,128,go2vec,0,0,sum,32,True,0.3,sum,False,3,True,max,0.893,True
0.001,0.01,300,10,0.1,128,go2vec,0,0,sum,32,True,0.3,mean,False,3,True,max,0.894,True
0.001,0.01,300,10,0.1,128,go2vec,0,0,sum,32,True,0.3,mean,False,3,True,sum,0.897,True
0.001,0.01,300,10,0.1,128,go2vec,0,0,sum,32,True,0.3,sum,False,3,True,sum,0.888,True
0.001,0.01,400,10,0.1,128,go2vec,0,0,sum,32,True,0.3,sum,False,3,True,sum,0.9,True
0.001,0.01,400,10,0.1,128,go2vec,0,0,sum,32,True,0.5,sum,False,3,True,sum,0.885,True
0.001,0.01,400,10,0.1,128,random,0,0,sum,32,True,0.5,sum,False,3,True,sum,0.61,False
0.001,0.01,400,10,0.1,128,go2vec,0,0,sum,32,True,0.5,sum,False,2,True,sum,0.85,True
0.001,0.01,400,10,0.1,128,go2vec,0,0,sum,64,True,0.5,sum,False,2,True,sum,0.736,True
0.001,0.01,400,10,0.1,128,random,0,0,sum,64,True,0.5,sum,False,2,True,sum,0.409,True
0.001,0.01,400,10,0.1,128,random,0,0,sum,64,True,0.5,sum,False,3,True,sum,0.631,True
0.001,0.01,400,10,0.1,128,random,0,0,sum,64,False,0.5,sum,False,3,True,sum,0.538,True
0.001,0.001,400,10,0.1,128,random,0,0,sum,64,False,0.5,sum,False,3,True,sum,0.757,True
0.001,0.001,400,10,0.1,128,random,0,0,sum,64,False,0.5,sum,True,3,True,sum,0.558,True
0.001,0.01,400,10,0.1,128,random,0,0,sum,64,False,0.5,sum,True,3,True,sum,0.684,True
0.001,0.01,400,10,0.1,128,random,0,0,sum,64,False,0.5,sum,True,3,False,sum,0.541,True
0.001,0.01,400,10,0.1,128,random,0,0,sum,32,False,0.5,sum,True,3,False,sum,0.546,True
0.001,0.0001,400,10,0.1,128,random,0,0,sum,32,False,0.5,sum,True,3,False,sum,0.801,True
0.001,0.0001,500,10,0.1,128,random,0,0,sum,32,False,0.5,sum,True,3,False,sum,0.781,True
0.001,0.0001,500,10,0.1,128,random,0,0,sum,32,False,0.5,sum,False,3,False,sum,0.507,True
0.001,0.0001,500,10,0.1,128,go2vec,0,0,sum,32,False,0.5,sum,False,3,False,sum,0.529,True
0.001,0.0001,500,10,0.1,16,go2vec,0,0,sum,32,False,0.5,sum,False,3,False,sum,0.558,True
0.001,0.0001,500,10,0.1,16,go2vec,0,0,sum,32,False,0.5,mean,False,3,False,sum,0.534,True
0.001,0.0001,500,10,0.1,16,go2vec,0,0,sum,32,False,0.5,mean,False,3,False,mean,0.805,True
0.001,0.0001,500,10,0.1,16,go2vec,0,2,sum,32,False,0.5,mean,False,3,False,mean,0.704,True
0.001,0.0001,500,10,0.1,16,go2vec,0,2,sum,32,False,0.5,sum,False,3,False,mean,0.798,True
0.001,0.0001,500,10,0.1,16,go2vec,0,2,sum,32,False,0.5,sum,True,3,False,mean,0.664,True
0.001,0.01,500,10,0.1,16,go2vec,0,2,sum,32,False,0.5,sum,True,3,False,mean,0.907,True
0.001,0.01,500,10,0.1,16,go2vec,0,2,sum,64,False,0.5,sum,True,3,False,mean,0.899,True
0.001,0.01,500,10,0.1,16,go2vec,0,0,sum,64,False,0.5,sum,True,3,False,mean,0.904,True
0.001,0.01,500,10,0.1,16,go2vec,0,0,sum,64,False,0.5,sum,True,4,False,mean,0.908,True
0.001,0.01,500,10,0.1,16,go2vec,0,0,sum,32,False,0.5,sum,True,4,False,mean,0.907,True
0.001,0.01,500,10,0.1,16,go2vec,0,0,sum,32,False,0.5,sum,False,4,False,mean,0.938,True
0.001,0.01,500,10,0.1,32,go2vec,0,0,sum,32,False,0.5,sum,False,4,False,mean,0.943,True
0.001,0.01,500,10,0.1,32,go2vec,0,2,sum,32,False,0.5,sum,False,4,False,mean,0.923,True
0.001,0.0001,500,10,0.1,32,go2vec,0,2,sum,32,False,0.5,sum,False,4,False,mean,0.768,True
0.001,0.0001,500,10,0.1,32,go2vec,0,2,sum,32,False,0.5,sum,False,4,False,max,0.699,True
0.001,0.0001,500,10,0.1,32,go2vec,0,2,sum,32,False,0.5,sum,True,4,False,max,0.777,True
0.001,0.01,500,10,0.1,32,go2vec,0,2,sum,32,False,0.5,sum,True,4,False,max,0.68,False
0.001,0.0001,500,10,0.1,32,go2vec,0,2,sum,32,True,0.5,sum,True,4,False,max,0.776,True
0.001,0.0001,500,10,0.1,32,go2vec,0,2,False,32,True,0.5,sum,True,4,False,max,0.701,True
0.001,0.0001,500,10,0.1,32,go2vec,0,2,False,32,True,0.0,sum,True,4,False,max,0.906,True
0.001,0.0001,500,10,0.1,32,go2vec,0,2,False,32,True,0.0,sum,True,4,True,max,0.888,True
0.001,0.0001,500,10,0.1,32,go2vec,0,2,False,32,True,0.0,sum,True,4,True,sum,0.676,True
0.001,0.0001,500,10,0.1,32,go2vec,0,2,False,32,True,0.0,sum,False,4,True,sum,0.884,True
0.001,0.0001,500,10,0.1,32,go2vec,0,2,False,64,True,0.0,sum,False,4,True,sum,0.876,True
0.001,0.0001,500,10,0.1,32,go2vec,0,2,False,64,True,0.0,sum,False,4,False,sum,0.86,True
0.001,0.0001,500,10,0.1,32,random,0,2,False,64,True,0.0,sum,False,4,False,sum,0.641,True
0.001,0.0001,500,10,0.1,32,random,0,2,False,64,True,0.3,sum,False,4,False,sum,0.338,True
0.001,0.0001,500,10,0.1,32,random,0,2,False,32,True,0.3,sum,False,4,False,sum,0.683,True
0.001,0.0001,500,10,0.1,64,random,0,2,False,32,True,0.3,sum,False,4,False,sum,0.702,True
