weight_decay,lr,epochs,patience,delta,feature_dim,pre_process_layers,post_process_layers,layer_connectivity,hidden_channels,batch_norm,dropout,macro_aggregation,L2_norm,msg_passing_layers,normalize_output,aggr,val_auc,accepted
0.001,0.001,400,10,0.1,64,1,1,sum,128,True,0.3,sum,False,2,False,mean,0.617,True
0.001,0.001,300,10,0.1,32,0,1,False,32,True,0.5,mean,True,3,False,sum,0.617,True
0.001,0.001,400,10,0.1,16,0,1,cat,128,True,0.5,sum,True,4,True,sum,0.615,True
0.001,0.001,500,10,0.1,32,1,2,sum,32,True,0.3,mean,True,2,False,mean,0.615,True
0.001,0.0001,300,10,0.1,32,1,1,sum,32,False,0.3,sum,True,2,True,mean,0.615,True
0.001,0.001,300,10,0.1,16,0,0,sum,32,True,0.0,mean,True,4,True,mean,0.613,False
0.001,0.0001,300,10,0.1,16,0,1,sum,32,False,0.5,mean,True,4,True,mean,0.613,True
0.001,0.0001,500,10,0.1,128,1,0,sum,32,True,0.5,mean,True,2,True,mean,0.613,True
0.001,0.0001,300,10,0.1,32,1,1,sum,32,False,0.3,sum,True,2,True,max,0.611,True
0.001,0.001,500,10,0.1,32,1,1,sum,64,True,0.0,mean,True,4,False,max,0.61,True
0.001,0.0001,300,10,0.1,128,1,0,sum,32,False,0.5,mean,True,2,True,mean,0.609,True
0.001,0.001,300,10,0.1,16,1,1,False,128,True,0.3,sum,False,3,False,mean,0.609,True
0.001,0.001,300,10,0.1,32,0,1,False,32,False,0.5,mean,True,3,False,sum,0.609,True
0.001,0.0001,400,10,0.1,16,1,2,False,128,False,0.0,sum,True,1,False,sum,0.608,True
0.001,0.0001,500,10,0.1,64,1,0,False,32,False,0.0,sum,False,1,False,max,0.608,True
0.001,0.01,400,10,0.1,128,2,1,cat,16,False,0.0,mean,True,1,False,sum,0.607,True
0.001,0.01,300,10,0.1,32,0,1,cat,32,False,0.3,mean,False,3,True,max,0.607,True
0.001,0.0001,300,10,0.1,128,2,2,cat,16,True,0.0,mean,False,1,False,sum,0.606,True
0.001,0.001,400,10,0.1,64,1,1,sum,128,True,0.3,mean,False,2,False,mean,0.605,True
0.001,0.0001,400,10,0.1,32,2,1,cat,32,True,0.3,sum,False,3,True,max,0.605,True
0.001,0.001,500,10,0.1,32,1,2,sum,64,True,0.3,mean,False,1,False,max,0.605,True
0.001,0.0001,400,10,0.1,64,0,2,cat,64,False,0.5,mean,False,4,True,mean,0.604,True
0.001,0.01,400,10,0.1,32,1,1,cat,64,True,0.3,sum,False,1,False,mean,0.603,True
0.001,0.0001,400,10,0.1,128,1,0,False,128,True,0.3,sum,True,2,False,mean,0.601,False
0.001,0.001,300,10,0.1,64,0,1,False,32,False,0.5,mean,True,3,False,max,0.6,True
0.001,0.0001,400,10,0.1,128,1,2,sum,128,False,0.3,mean,False,3,False,mean,0.597,True
0.001,0.0001,300,10,0.1,32,1,1,sum,32,True,0.3,sum,True,2,False,mean,0.597,True
0.001,0.001,500,10,0.1,32,1,2,sum,32,True,0.3,sum,True,2,False,mean,0.596,True
0.001,0.0001,300,10,0.1,32,1,0,cat,32,True,0.3,sum,False,3,False,max,0.595,True
0.001,0.01,500,10,0.1,128,1,1,sum,64,False,0.0,sum,False,2,True,mean,0.595,True
0.001,0.001,300,10,0.1,32,0,1,False,64,True,0.3,mean,True,3,False,sum,0.594,True
0.001,0.001,400,10,0.1,32,1,1,sum,16,False,0.5,sum,False,3,False,sum,0.593,True
0.001,0.0001,300,10,0.1,128,1,0,sum,32,True,0.0,mean,False,2,True,mean,0.593,True
0.001,0.001,400,10,0.1,32,1,1,cat,64,True,0.3,sum,False,1,False,mean,0.592,True
0.001,0.0001,300,10,0.1,32,0,1,sum,32,True,0.3,sum,True,2,True,mean,0.588,True
0.001,0.001,500,10,0.1,32,2,1,False,16,False,0.5,mean,True,1,False,mean,0.588,True
0.001,0.001,500,10,0.1,32,1,1,sum,16,False,0.5,sum,False,4,False,sum,0.587,True
