,weight_decay,lr,epochs,patience,delta,feature_dim,features,pre_process_layers,post_process_layers,layer_connectivity,hidden_channels,batch_norm,dropout,macro_aggregation,L2_norm,msg_passing_layers,normalize_output,aggr,val_auc,accepted,val_auc_with_features
228,0.001,0.001,500,10,0.1,128,random,0,1,cat,64,True,0.5,mean,False,4,False,sum,0.726,True,0.924
233,0.001,0.001,300,10,0.1,128,random,0,1,cat,64,True,0.0,mean,False,4,False,sum,0.833,True,0.89
234,0.001,0.001,300,10,0.1,128,random,0,1,cat,64,True,0.0,mean,False,4,False,max,0.836,True,0.944
235,0.001,0.001,300,10,0.1,128,random,1,1,cat,64,True,0.0,mean,False,4,False,max,0.818,True,0.92
237,0.001,0.001,400,10,0.1,128,random,1,1,False,64,True,0.0,mean,False,4,False,max,0.845,True,0.896
242,0.001,0.001,300,10,0.1,128,random,1,1,sum,64,True,0.3,sum,True,4,False,max,0.731,True,0.719
259,0.001,0.001,300,10,0.1,16,random,0,0,sum,32,False,0.0,sum,True,4,True,mean,0.79,True,0.904
260,0.001,0.001,300,10,0.1,16,random,0,1,sum,32,False,0.0,sum,True,4,True,mean,0.813,True,0.898
262,0.001,0.0001,300,10,0.1,16,random,0,1,sum,32,False,0.0,mean,True,4,True,mean,0.745,True,0.876
264,0.001,0.0001,300,10,0.1,16,random,0,1,sum,32,False,0.5,mean,True,4,True,sum,0.813,True,0.864
265,0.001,0.01,300,10,0.1,16,random,0,1,sum,32,False,0.5,mean,True,4,True,sum,0.837,True,0.896
267,0.001,0.0001,300,10,0.1,16,random,0,1,False,32,False,0.5,mean,True,4,True,sum,0.857,True,0.848
268,0.001,0.0001,400,10,0.1,16,random,0,1,False,32,False,0.5,mean,True,4,True,sum,0.847,True,0.863
269,0.001,0.0001,400,10,0.1,16,random,0,1,False,32,False,0.5,sum,True,4,True,sum,0.864,True,0.865
270,0.001,0.0001,400,10,0.1,16,random,0,1,False,32,False,0.5,sum,True,4,False,sum,0.828,True,0.855
271,0.001,0.0001,400,10,0.1,16,random,0,2,False,32,False,0.5,sum,True,4,False,sum,0.75,True,0.721
272,0.001,0.0001,400,10,0.1,16,random,1,2,False,32,False,0.5,sum,True,4,False,sum,0.768,True,0.752
273,0.001,0.0001,400,10,0.1,16,random,1,2,False,32,False,0.0,sum,True,4,False,sum,0.834,True,0.861
274,0.001,0.0001,400,10,0.1,16,random,1,2,False,32,False,0.0,sum,True,1,False,sum,0.714,True,0.78
