weight_decay,lr,epochs,patience,delta,feature_dim,features,pre_process_layers,post_process_layers,layer_connectivity,hidden_channels,batch_norm,dropout,macro_aggregation,L2_norm,msg_passing_layers,normalize_output,heads,add_self_loops,concat,val_auc,accepted
0.001,0.001,300,10,0.1,64,go2vec,2,2,sum,128,True,0.0,mean,False,1,False,2,False,False,0.704,True
0.001,0.001,300,10,0.1,64,go2vec,2,2,sum,128,True,0.0,mean,False,1,True,2,False,False,0.737,True
0.001,0.001,300,10,0.1,64,go2vec,2,2,sum,128,True,0.0,mean,True,1,True,2,False,False,0.706,True
0.001,0.001,300,10,0.1,64,go2vec,2,2,sum,128,True,0.0,mean,True,1,True,2,False,True,0.694,True
0.001,0.001,300,10,0.1,64,random,2,2,sum,128,True,0.0,mean,True,1,True,2,False,True,0.492,True
0.001,0.001,300,10,0.1,64,random,1,2,sum,128,True,0.0,mean,True,1,True,2,False,True,0.501,True
0.001,0.001,300,10,0.1,64,random,1,2,False,128,True,0.0,mean,True,1,True,2,False,True,0.574,True
0.001,0.001,300,10,0.1,64,random,1,2,False,128,True,0.0,mean,True,2,True,2,False,True,0.573,True
0.001,0.0001,300,10,0.1,64,random,1,2,False,128,True,0.0,mean,True,2,True,2,False,True,0.458,True
0.001,0.0001,300,10,0.1,64,random,1,2,False,128,True,0.0,mean,True,3,True,2,False,True,0.754,True
0.001,0.0001,300,10,0.1,64,go2vec,1,2,False,128,True,0.0,mean,True,3,True,2,False,True,0.805,True
0.001,0.0001,300,10,0.1,128,go2vec,1,2,False,128,True,0.0,mean,True,3,True,2,False,True,0.843,True
0.001,0.0001,300,10,0.1,128,go2vec,1,2,False,128,False,0.0,mean,True,3,True,2,False,True,0.899,True
0.001,0.0001,300,10,0.1,128,go2vec,1,2,False,128,False,0.0,mean,True,2,True,2,False,True,0.872,True
0.001,0.0001,300,10,0.1,128,go2vec,1,2,False,128,False,0.0,mean,True,2,True,2,False,False,0.876,True
0.001,0.0001,300,10,0.1,128,go2vec,2,2,False,128,False,0.0,mean,True,2,True,2,False,False,0.884,True
0.001,0.0001,300,10,0.1,128,go2vec,2,2,cat,128,False,0.0,mean,True,2,True,2,False,False,0.878,True
0.001,0.001,300,10,0.1,128,go2vec,2,2,cat,128,False,0.0,mean,True,2,True,2,False,False,0.85,True
0.001,0.001,300,10,0.1,128,go2vec,2,0,cat,128,False,0.0,mean,True,2,True,2,False,False,0.897,True
0.001,0.001,300,10,0.1,128,go2vec,2,0,cat,128,True,0.0,mean,True,2,True,2,False,False,0.588,True
0.001,0.001,300,10,0.1,128,go2vec,2,0,cat,128,True,0.0,mean,True,2,False,2,False,False,0.636,True
0.001,0.0001,300,10,0.1,128,go2vec,2,0,cat,128,True,0.0,mean,True,2,False,2,False,False,0.868,True
0.001,0.0001,300,10,0.1,128,go2vec,2,2,cat,128,True,0.0,mean,True,2,False,2,False,False,0.823,True
0.001,0.0001,300,10,0.1,128,go2vec,2,2,cat,128,True,0.0,mean,True,2,False,3,False,False,0.871,True
0.001,0.0001,400,10,0.1,128,go2vec,2,2,cat,128,True,0.0,mean,True,2,False,3,False,False,0.863,True
0.001,0.0001,400,10,0.1,128,go2vec,2,2,cat,128,True,0.3,mean,True,2,False,3,False,False,0.904,True
0.001,0.0001,400,10,0.1,128,go2vec,2,2,cat,128,True,0.3,mean,True,3,False,3,False,False,0.917,True
0.001,0.0001,400,10,0.1,128,go2vec,2,2,cat,128,True,0.3,mean,True,3,False,2,False,False,0.904,True
0.001,0.0001,400,10,0.1,128,go2vec,2,2,cat,128,False,0.3,mean,True,3,False,2,False,False,0.83,True
0.001,0.0001,400,10,0.1,128,go2vec,2,2,cat,128,False,0.3,mean,False,3,False,2,False,False,0.82,True
0.001,0.0001,400,10,0.1,128,go2vec,2,2,sum,128,False,0.3,mean,False,3,False,2,False,False,0.832,True
0.001,0.0001,400,10,0.1,128,go2vec,2,2,False,128,False,0.3,mean,False,3,False,2,False,False,0.62,True
0.001,0.0001,400,10,0.1,128,go2vec,2,2,False,128,False,0.3,mean,False,3,True,2,False,False,0.618,True
0.001,0.0001,400,10,0.1,128,go2vec,2,1,False,128,False,0.3,mean,False,3,True,2,False,False,0.627,True
0.001,0.0001,400,10,0.1,128,go2vec,2,1,False,128,False,0.3,mean,True,3,True,2,False,False,0.884,True
0.001,0.0001,400,10,0.1,128,go2vec,2,2,False,128,False,0.3,mean,True,3,True,2,False,False,0.864,True
0.001,0.0001,400,10,0.1,128,go2vec,2,2,False,128,False,0.3,mean,True,3,True,1,False,False,0.822,False
0.001,0.0001,400,10,0.1,128,go2vec,2,2,False,128,False,0.3,mean,True,3,True,2,False,True,0.877,True
0.001,0.0001,400,10,0.1,128,go2vec,2,2,False,128,False,0.3,sum,True,3,True,2,False,True,0.872,True
0.001,0.0001,400,10,0.1,128,go2vec,2,2,False,128,False,0.3,sum,True,4,True,2,False,True,0.872,True
0.001,0.0001,400,10,0.1,128,go2vec,2,2,False,128,False,0.3,mean,True,4,True,2,False,True,0.86,True
0.001,0.0001,400,10,0.1,128,go2vec,2,2,False,128,False,0.3,mean,False,4,True,2,False,True,0.765,True
0.001,0.0001,500,10,0.1,128,go2vec,2,2,False,128,False,0.3,mean,False,4,True,2,False,True,0.796,True
0.001,0.0001,500,10,0.1,128,go2vec,2,2,False,128,True,0.3,mean,False,4,True,2,False,True,0.829,True
0.001,0.001,500,10,0.1,128,go2vec,2,2,False,128,True,0.3,mean,False,4,True,2,False,True,0.57,True
0.001,0.001,500,10,0.1,128,go2vec,2,2,False,128,True,0.3,mean,False,4,False,2,False,True,0.899,True
0.001,0.001,500,10,0.1,128,go2vec,2,2,False,128,True,0.3,mean,False,4,False,1,False,True,0.819,True
0.001,0.001,500,10,0.1,128,go2vec,2,2,False,128,True,0.3,sum,False,4,False,1,False,True,0.826,True
