,weight_decay,lr,epochs,patience,delta,feature_dim,features,pre_process_layers,post_process_layers,layer_connectivity,hidden_channels,batch_norm,dropout,macro_aggregation,L2_norm,msg_passing_layers,normalize_output,heads,add_self_loops,concat,val_auc,accepted,val_auc_random_features
300,0.001,0.001,300,10,0.1,64,go2vec,1,1,sum,64,True,0.3,sum,True,4,False,1,False,True,0.909,True,0.609
708,0.001,0.001,300,10,0.1,64,go2vec,2,0,cat,32,True,0.5,sum,True,4,False,2,False,True,0.909,True,0.846
710,0.001,0.001,300,10,0.1,32,go2vec,2,0,cat,32,True,0.5,sum,True,4,False,3,False,True,0.908,True,0.695
629,0.001,0.01,300,10,0.1,32,go2vec,2,1,sum,32,False,0.3,mean,True,4,False,3,False,False,0.908,True,0.817
908,0.001,0.0001,300,10,0.1,128,go2vec,0,2,cat,64,False,0.3,sum,False,4,False,2,False,True,0.908,True,0.795
826,0.001,0.01,500,10,0.1,128,go2vec,1,1,cat,128,False,0.3,mean,True,4,False,3,False,True,0.907,False,0.525
214,0.001,0.001,300,10,0.1,64,go2vec,1,2,sum,32,True,0.3,mean,True,2,False,3,False,True,0.907,True,0.482
680,0.001,0.001,400,10,0.1,64,go2vec,1,0,sum,64,False,0.0,sum,True,3,True,2,False,True,0.906,True,0.738
676,0.001,0.001,400,10,0.1,64,go2vec,1,0,sum,64,False,0.0,sum,True,2,True,2,False,False,0.906,True,0.707
679,0.001,0.001,400,10,0.1,64,go2vec,1,0,sum,64,False,0.0,mean,True,3,True,2,False,True,0.906,True,0.656
728,0.001,0.001,500,10,0.1,16,go2vec,0,0,cat,16,False,0.0,sum,False,4,True,3,False,False,0.906,True,0.787
632,0.001,0.01,400,10,0.1,32,go2vec,2,2,sum,64,False,0.3,mean,True,4,False,3,False,False,0.906,True,0.451
399,0.001,0.001,500,10,0.1,32,go2vec,0,0,sum,32,False,0.5,sum,False,3,True,2,False,True,0.906,True,0.508
725,0.001,0.0001,500,10,0.1,16,go2vec,0,0,cat,16,True,0.0,sum,False,4,True,3,False,True,0.906,True,0.815
707,0.001,0.001,400,10,0.1,64,go2vec,2,0,cat,32,True,0.5,sum,True,4,False,2,False,True,0.906,True,0.572
926,0.001,0.0001,400,10,0.1,64,go2vec,1,2,cat,64,True,0.3,sum,False,4,False,2,False,False,0.905,True,0.816
109,0.001,0.001,500,10,0.1,16,go2vec,1,0,sum,128,False,0.5,sum,False,3,True,1,False,True,0.905,True,0.79
391,0.001,0.01,500,10,0.1,32,go2vec,0,0,False,32,False,0.0,sum,True,3,True,2,False,True,0.905,True,0.779
363,0.001,0.001,500,10,0.1,32,go2vec,1,0,cat,32,False,0.0,mean,False,4,True,1,False,False,0.905,True,0.79
670,0.001,0.001,400,10,0.1,64,go2vec,1,0,sum,64,False,0.0,sum,True,2,False,3,False,False,0.904,True,0.623
165,0.001,0.0001,400,10,0.1,128,go2vec,2,2,cat,128,True,0.3,mean,True,2,False,3,False,False,0.904,True,0.791
167,0.001,0.0001,400,10,0.1,128,go2vec,2,2,cat,128,True,0.3,mean,True,3,False,2,False,False,0.904,True,0.791
927,0.001,0.0001,400,10,0.1,64,go2vec,1,0,cat,64,True,0.3,sum,False,4,False,2,False,False,0.904,True,0.548
450,0.001,0.001,500,10,0.1,16,go2vec,2,2,False,16,False,0.0,sum,False,3,True,3,False,True,0.904,True,0.848
402,0.001,0.001,500,10,0.1,32,go2vec,0,0,sum,32,False,0.5,mean,False,4,True,2,False,False,0.904,True,0.76
403,0.001,0.001,500,10,0.1,32,go2vec,0,0,sum,32,False,0.5,mean,False,4,True,3,False,False,0.904,True,0.723
810,0.001,0.0001,500,10,0.1,16,go2vec,0,2,cat,16,True,0.0,mean,False,4,True,3,False,True,0.903,True,0.744
225,0.001,0.001,500,10,0.1,32,go2vec,2,2,sum,32,False,0.0,mean,False,4,True,3,False,True,0.903,True,0.838
729,0.001,0.001,500,10,0.1,16,go2vec,0,0,cat,32,False,0.0,sum,False,4,True,3,False,False,0.903,True,0.765
392,0.001,0.01,500,10,0.1,32,go2vec,0,0,False,32,False,0.3,sum,True,3,True,2,False,True,0.903,True,0.749
677,0.001,0.001,400,10,0.1,64,go2vec,1,0,sum,64,False,0.0,sum,True,2,True,2,False,True,0.903,True,0.607
404,0.001,0.001,500,10,0.1,32,go2vec,0,0,sum,32,False,0.5,mean,False,4,True,3,False,True,0.903,True,0.572
682,0.001,0.001,500,10,0.1,64,go2vec,1,0,sum,64,False,0.0,sum,False,3,True,2,False,True,0.903,True,0.761
224,0.001,0.001,400,10,0.1,32,go2vec,2,2,sum,32,False,0.0,mean,False,4,True,3,False,True,0.902,True,0.837
433,0.001,0.01,300,10,0.1,128,go2vec,0,1,sum,16,True,0.5,mean,True,2,False,3,False,False,0.902,True,0.524
401,0.001,0.001,500,10,0.1,32,go2vec,0,0,sum,32,False,0.5,mean,False,3,True,2,False,False,0.902,True,0.706
31,0.001,0.001,400,10,0.1,128,go2vec,2,1,sum,128,False,0.3,mean,True,2,True,2,False,True,0.902,True,0.688
675,0.001,0.001,400,10,0.1,64,go2vec,1,0,sum,64,False,0.0,sum,False,2,True,2,False,False,0.902,True,0.528
361,0.001,0.001,400,10,0.1,32,go2vec,1,0,cat,32,False,0.5,mean,False,4,True,1,False,False,0.902,True,0.781
913,0.001,0.0001,300,10,0.1,128,go2vec,0,1,cat,64,True,0.3,sum,False,4,True,2,False,True,0.902,False,0.832
558,0.001,0.0001,400,10,0.1,128,go2vec,2,2,cat,128,True,0.3,mean,False,2,False,2,False,False,0.902,True,0.734
631,0.001,0.01,300,10,0.1,32,go2vec,2,2,sum,64,False,0.3,mean,True,4,False,3,False,False,0.902,True,0.582
830,0.001,0.01,500,10,0.1,128,go2vec,1,2,cat,16,False,0.3,mean,False,4,False,3,False,False,0.902,True,0.5
273,0.001,0.001,300,10,0.1,64,go2vec,0,0,False,64,False,0.5,sum,False,2,False,3,False,False,0.902,True,0.64
110,0.001,0.001,500,10,0.1,16,go2vec,1,0,sum,128,True,0.5,sum,False,3,True,1,False,True,0.902,True,0.783
842,0.001,0.01,500,10,0.1,128,go2vec,0,0,sum,16,True,0.5,sum,True,4,True,3,False,True,0.902,True,0.507
30,0.001,0.001,300,10,0.1,128,go2vec,2,1,sum,128,False,0.3,mean,True,2,True,2,False,True,0.901,True,0.502
724,0.001,0.0001,500,10,0.1,16,go2vec,0,0,cat,16,True,0.0,sum,True,4,True,3,False,True,0.901,True,0.581
316,0.001,0.01,500,10,0.1,32,go2vec,1,1,sum,16,False,0.5,sum,True,2,False,3,False,True,0.901,True,0.667
362,0.001,0.001,500,10,0.1,32,go2vec,1,0,cat,32,False,0.5,mean,False,4,True,1,False,False,0.901,True,0.793
730,0.001,0.001,500,10,0.1,16,go2vec,0,1,cat,32,False,0.0,sum,False,4,True,3,False,False,0.901,True,0.814
507,0.001,0.001,300,10,0.1,16,go2vec,0,2,sum,128,False,0.0,sum,True,3,False,2,False,True,0.901,True,0.639
695,0.001,0.001,400,10,0.1,64,go2vec,2,0,sum,64,False,0.5,mean,False,4,False,1,False,True,0.901,True,0.83
808,0.001,0.0001,500,10,0.1,32,go2vec,0,2,cat,16,True,0.0,mean,False,4,True,2,False,True,0.901,True,0.779
100,0.001,0.001,500,10,0.1,16,go2vec,1,0,sum,16,False,0.5,mean,True,2,True,3,False,True,0.9,True,0.743
